A Formal Framework for Speedup Learning from Problems and Solutions,"Speedup learning seeks to improve the computational efficiency of problem
solving with experience. In this paper, we develop a formal framework for
learning efficient problem solving from random problems and their solutions. We
apply this framework to two different representations of learned knowledge,
namely control rules and macro-operators, and prove theorems that identify
sufficient conditions for learning in each representation. Our proofs are
constructive in that they are accompanied with learning algorithms. Our
framework captures both empirical and explanation-based speedup learning in a
unified fashion. We illustrate our framework with implementations in two
domains: symbolic integration and Eight Puzzle. This work integrates many
strands of experimental and theoretical work in machine learning, including
empirical learning of control rules, macro-operator learning, Explanation-Based
Learning (EBL), and Probably Approximately Correct (PAC) Learning.",EBL Learning - 2.36,symbolic integration - 1.09; Speedup learning - 1.24; Explanation-BasedĊLearning - 4.00,EBL Learning - Speedup learning - 8.08,"{'CumulativeMethodScore': 0.5539900430733568, 'CumulativeTaskScore': 0.8422478915214378, 'CumulativeMethodTaskPairScore': 0.5110107622203859}"
Cue Phrase Classification Using Machine Learning,"Cue phrases may be used in a discourse sense to explicitly signal discourse
structure, but also in a sentential sense to convey semantic rather than
structural information. Correctly classifying cue phrases as discourse or
sentential is critical in natural language processing systems that exploit
discourse structure, e.g., for performing tasks such as anaphora resolution and
plan recognition. This paper explores the use of machine learning for
classifying cue phrases as discourse or sentential. Two machine learning
programs (Cgrendel and C4.5) are used to induce classification models from sets
of pre-classified cue phrases and their features in text and speech. Machine
learning is shown to be an effective technique for not only automating the
generation of classification models, but also for improving upon previous
results. When compared to manually derived classification models already in the
literature, the learned models often perform with higher accuracy and contain
new linguistic insights into the data. In addition, the ability to
automatically construct classification models makes it easier to comparatively
analyze the utility of alternative feature representations of the data.
Finally, the ease of retraining makes the learning approach more scalable and
flexible than manual methods.",C4.5 - 0.00; Cgrendel - 0.43,Ċplan recognitionential - 0.76; anaphora resolution - 0.00; Cue Phrase Classification - 0.00,C4.5 - anaphora resolution - 0.00; Cgrendel - anaphora resolution - 1.51,"{'CumulativeMethodScore': 0.4523106091525794, 'CumulativeTaskScore': 0.5008007297086123, 'CumulativeMethodTaskPairScore': 0.45366510168003044}"
MUSE CSP: An Extension to the Constraint Satisfaction Problem,"This paper describes an extension to the constraint satisfaction problem
(CSP) called MUSE CSP (MUltiply SEgmented Constraint Satisfaction Problem).
This extension is especially useful for those problems which segment into
multiple sets of partially shared variables. Such problems arise naturally in
signal processing applications including computer vision, speech processing,
and handwriting recognition. For these applications, it is often difficult to
segment the data in only one way given the low-level information utilized by
the segmentation algorithms. MUSE CSP can be used to compactly represent
several similar instances of the constraint satisfaction problem. If multiple
instances of a CSP have some common variables which have the same domains and
constraints, then they can be combined into a single instance of a MUSE CSP,
reducing the work required to apply the constraints. We introduce the concepts
of MUSE node consistency, MUSE arc consistency, and MUSE path consistency. We
then demonstrate how MUSE CSP can be used to compactly represent lexically
ambiguous sentences and the multiple sentence hypotheses that are often
generated by speech recognition algorithms so that grammar constraints can be
used to provide parses for all syntactically correct sentences. Algorithms for
MUSE arc and path consistency are provided. Finally, we discuss how to create a
MUSE CSP from a set of CSPs which are labeled to indicate when the same
variable is shared by more than a single CSP.",ĊMUSE CSP - 1.38; MUSE - 0.55; MUSE CSP - 1.09; MUltiply SEgmented Constraint Satisfaction Problem - 1.32,speech recognitionMUSE - 0.81; constraint satisfaction problem - 1.21; handwriting recognition - 0.00; CSP - 0.00; speech processing - 0.00,MUSE - constraint satisfaction problem - 10.85; MUSE CSP - speech recognitionMUSE - 8.78; MUSE CSP - constraint satisfaction problem - 10.94; MUSE CSP - handwriting recognition - 6.65; ĊMUSE CSP - constraint satisfaction problem - 12.38; ĊMUSE CSP - CSP - 9.10; MUltiply SEgmented Constraint Satisfaction Problem - constraint satisfaction problem - 5.44,"{'CumulativeMethodScore': 0.6547162772876394, 'CumulativeTaskScore': 0.593997055246911, 'CumulativeMethodTaskPairScore': 0.8814424273901968}"
Exploiting Causal Independence in Bayesian Network Inference,"A new method is proposed for exploiting causal independencies in exact
Bayesian network inference. A Bayesian network can be viewed as representing a
factorization of a joint probability into the multiplication of a set of
conditional probabilities. We present a notion of causal independence that
enables one to further factorize the conditional probabilities into a
combination of even smaller factors and consequently obtain a finer-grain
factorization of the joint probability. The new formulation of causal
independence lets us specify the conditional probability of a variable given
its parents in terms of an associative and commutative operator, such as
``or'', ``sum'' or ``max'', on the contribution of each parent. We start with a
simple algorithm VE for Bayesian network inference that, given evidence and a
query variable, uses the factorization to find the posterior distribution of
the query. We show how this algorithm can be extended to exploit causal
independence. Empirical studies, based on the CPCS networks for medical
diagnosis, show that this method is more efficient than previous methods and
allows for inference in larger networks than previous algorithms.",VE - 0.00,Bayesian network inference - 0.00,VE - Bayesian network inference - 0.00,"{'CumulativeMethodScore': 0.4296809076804205, 'CumulativeTaskScore': 0.4437550450718903, 'CumulativeMethodTaskPairScore': 0.4405709574616741}"
Flaw Selection Strategies for Partial-Order Planning,"Several recent studies have compared the relative efficiency of alternative
flaw selection strategies for partial-order causal link (POCL) planning. We
review this literature, and present new experimental results that generalize
the earlier work and explain some of the discrepancies in it. In particular, we
describe the Least-Cost Flaw Repair (LCFR) strategy developed and analyzed by
Joslin and Pollack (1994), and compare it with other strategies, including
Gerevini and Schubert's (1996) ZLIFO strategy. LCFR and ZLIFO make very
different, and apparently conflicting claims about the most effective way to
reduce search-space size in POCL planning. We resolve this conflict, arguing
that much of the benefit that Gerevini and Schubert ascribe to the LIFO
component of their ZLIFO strategy is better attributed to other causes. We show
that for many problems, a strategy that combines least-cost flaw selection with
the delay of separable threats will be effective in reducing search-space size,
and will do so without excessive computational overhead. Although such a
strategy thus provides a good default, we also show that certain domain
characteristics may reduce its effectiveness.",Least-Cost Flaw Repair - 0.00; ZLIFO-space size - 0.00; LCFR - 0.00; LIFO - 1.02; ZLIFO - 0.00,POCL - 0.24; Partial - 0.00; partial-order causal link - 0.00; POCL planning - 0.00,LIFO - POCL planning - 5.39; LIFO - partial-order causal link - 4.36; LIFO - POCL - 8.33; LCFR - POCL planning - 0.00; LCFR - partial-order causal link - 0.00; LCFR - POCL - 1.87; ZLIFO - POCL planning - 0.00; ZLIFO - partial-order causal link - 0.00; ZLIFO - POCL - 1.35; Least-Cost Flaw Repair - POCL planning - 0.00; Least-Cost Flaw Repair - partial-order causal link - 0.00; Least-Cost Flaw Repair - POCL - 0.81; ZLIFO-space size - POCL planning - 0.00; ZLIFO-space size - partial-order causal link - 0.00; ZLIFO-space size - POCL - 0.94,"{'CumulativeMethodScore': 0.48317429784176374, 'CumulativeTaskScore': 0.46125119215774457, 'CumulativeMethodTaskPairScore': 0.6382700087740619}"
Cached Sufficient Statistics for Efficient Machine Learning with Large Datasets,"This paper introduces new algorithms and data structures for quick counting
for machine learning datasets. We focus on the counting task of constructing
contingency tables, but our approach is also applicable to counting the number
of records in a dataset that match conjunctive queries. Subject to certain
assumptions, the costs of these operations can be shown to be independent of
the number of records in the dataset and loglinear in the number of non-zero
entries in the contingency table. We provide a very sparse data structure, the
ADtree, to minimize memory use. We provide analytical worst-case bounds for
this structure for several models of data distribution. We empirically
demonstrate that tractably-sized data structures can be produced for large
real-world datasets by (a) using a sparse tree structure that never allocates
memory for counts of zero, (b) never allocating memory for counts that can be
deduced from other counts, and (c) not bothering to expand the tree fully near
its leaves. We show how the ADtree can be used to accelerate Bayes net
structure finding algorithms, rule learning algorithms, and feature selection
algorithms, and we provide a number of empirical results comparing ADtree
methods against traditional direct counting approaches. We also discuss the
possible uses of ADtrees in other machine learning methods, and discuss the
merits of ADtrees in comparison with alternative representations such as
kd-trees, R-trees and Frequent Sets.",Ċkd-trees - 2.98; ĊADtree - 0.79; ADtrees - 0.00; ADtree - 0.00; ADt - 0.76; R-treesent - 0.72,rule learning - 0.00; constructingĊcont - 1.24; counting - 0.10,Ċkd-trees - counting - 12.98; ĊADtree - counting - 5.58; ADt - rule learning - 4.71; ADt - counting - 6.40; R-treesent - counting - 3.52; ADtrees - counting - 0.55; ADtree - rule learning - 0.00; ADtree - counting - 0.64,"{'CumulativeMethodScore': 0.6962344451315374, 'CumulativeTaskScore': 0.5437674166809447, 'CumulativeMethodTaskPairScore': 0.72404524870124}"
Model-Based Diagnosis using Structured System Descriptions,"This paper presents a comprehensive approach for model-based diagnosis which
includes proposals for characterizing and computing preferred diagnoses,
assuming that the system description is augmented with a system structure (a
directed graph explicating the interconnections between system components).
Specifically, we first introduce the notion of a consequence, which is a
syntactically unconstrained propositional sentence that characterizes all
consistency-based diagnoses and show that standard characterizations of
diagnoses, such as minimal conflicts, correspond to syntactic variations on a
consequence. Second, we propose a new syntactic variation on the consequence
known as negation normal form (NNF) and discuss its merits compared to standard
variations. Third, we introduce a basic algorithm for computing consequences in
NNF given a structured system description. We show that if the system structure
does not contain cycles, then there is always a linear-size consequence in NNF
which can be computed in linear time. For arbitrary system structures, we show
a precise connection between the complexity of computing consequences and the
topology of the underlying system structure. Finally, we present an algorithm
that enumerates the preferred diagnoses characterized by a consequence. The
algorithm is shown to take linear time in the size of the consequence if the
preference criterion satisfies some general conditions.",negation normal formF - 3.28; ĊNN - 0.79,model-based diagnosis - 1.62,negation normal formF - model-based diagnosis - 5.43; ĊNN - model-based diagnosis - 4.93,"{'CumulativeMethodScore': 0.6410218634039208, 'CumulativeTaskScore': 0.5650479526880755, 'CumulativeMethodTaskPairScore': 0.5309721427635379}"
A reusable iterative optimization software library to solve combinatorial problems with approximate reasoning,"Real world combinatorial optimization problems such as scheduling are
typically too complex to solve with exact methods. Additionally, the problems
often have to observe vaguely specified constraints of different importance,
the available data may be uncertain, and compromises between antagonistic
criteria may be necessary. We present a combination of approximate reasoning
based constraints and iterative optimization based heuristics that help to
model and solve such problems in a framework of C++ software libraries called
StarFLIP++. While initially developed to schedule continuous caster units in
steel plants, we present in this paper results from reusing the library
components in a shift scheduling system for the workforce of an industrial
production plant.",ĊStarFLIP++ - 3.64,shift scheduling - 2.24,ĊStarFLIP++ - shift scheduling - 5.87,"{'CumulativeMethodScore': 0.6197529278239203, 'CumulativeTaskScore': 0.6095978967130342, 'CumulativeMethodTaskPairScore': 0.4917036172955524}"
Iterative Deepening Branch and Bound,"In tree search problem the best-first search algorithm needs too much of
space . To remove such drawbacks of these algorithms the IDA* was developed
which is both space and time cost efficient. But again IDA* can give an optimal
solution for real valued problems like Flow shop scheduling, Travelling
Salesman and 0/1 Knapsack due to their real valued cost estimates. Thus further
modifications are done on it and the Iterative Deepening Branch and Bound
Search Algorithms is developed which meets the requirements. We have tried
using this algorithm for the Flow Shop Scheduling Problem and have found that
it is quite effective.",IDA* - 1.50,Flow shop - 1.52; Flow Shop Scheduling - 3.51,IDA* - Flow shop - 5.01; IDA* - Flow Shop Scheduling - 6.52,"{'CumulativeMethodScore': 0.5086600887990022, 'CumulativeTaskScore': 0.7832721192824874, 'CumulativeMethodTaskPairScore': 0.5411678172892243}"
On the accuracy and running time of GSAT,"Randomized algorithms for deciding satisfiability were shown to be effective
in solving problems with thousands of variables. However, these algorithms are
not complete. That is, they provide no guarantee that a satisfying assignment,
if one exists, will be found. Thus, when studying randomized algorithms, there
are two important characteristics that need to be considered: the running time
and, even more importantly, the accuracy --- a measure of likelihood that a
satisfying assignment will be found, provided one exists. In fact, we argue
that without a reference to the accuracy, the notion of the running time for
randomized algorithms is not well-defined. In this paper, we introduce a formal
notion of accuracy. We use it to define a concept of the running time. We use
both notions to study the random walk strategy GSAT algorithm. We investigate
the dependence of accuracy on properties of input formulas such as
clause-to-variable ratio and the number of satisfying assignments. We
demonstrate that the running time of GSAT grows exponentially in the number of
variables of the input formula for randomly generated 3-CNF formulas and for
the formulas encoding 3- and 4-colorability of graphs.",GSAT - 0.00; of - 0.00,deciding satisfiability - 5.49,GSAT - deciding satisfiability - 6.67,"{'CumulativeMethodScore': 0.4296809076804205, 'CumulativeTaskScore': 0.8057886299037896, 'CumulativeMethodTaskPairScore': 0.49866859742903263}"
ACLP: Integrating Abduction and Constraint Solving,"ACLP is a system which combines abductive reasoning and constraint solving by
integrating the frameworks of Abductive Logic Programming (ALP) and Constraint
Logic Programming (CLP). It forms a general high-level knowledge representation
environment for abductive problems in Artificial Intelligence and other areas.
In ACLP, the task of abduction is supported and enhanced by its non-trivial
integration with constraint solving facilitating its application to complex
problems. The ACLP system is currently implemented on top of the CLP language
of ECLiPSe as a meta-interpreter exploiting its underlying constraint solver
for finite domains. It has been applied to the problems of planning and
scheduling in order to test its computational effectiveness compared with the
direct use of the (lower level) constraint solving framework of CLP on which it
is built. These experiments provide evidence that the abductive framework of
ACLP does not compromise significantly the computational efficiency of the
solutions. Other experiments show the natural ability of ACLP to accommodate
easily and in a robust way new or changing requirements of the original
problem.",ECLiPSe - 0.88; of CLP - 0.93; ĊACLP - 0.80; CLP - 0.00; ConstraintĊLogic Programming - 0.96; Abductive Logic Programming - 0.50; ALP - 0.00; ACLP - 0.60,planning - 0.00; Ċscheduling - 0.90,ECLiPSe - planning - 4.42; of CLP - planning - 5.80; ĊACLP - planning - 6.26; CLP - planning - 0.00; CLP - Ċscheduling - 5.66; ConstraintĊLogic Programming - planning - 3.94; Abductive Logic Programming - planning - 2.16; ALP - planning - 0.00; ACLP - planning - 4.88,"{'CumulativeMethodScore': 0.6699943579569685, 'CumulativeTaskScore': 0.5109983488105838, 'CumulativeMethodTaskPairScore': 0.7152243519404902}"
Probabilistic Default Reasoning with Conditional Constraints,"We propose a combination of probabilistic reasoning from conditional
constraints with approaches to default reasoning from conditional knowledge
bases. In detail, we generalize the notions of Pearl's entailment in system Z,
Lehmann's lexicographic entailment, and Geffner's conditional entailment to
conditional constraints. We give some examples that show that the new notions
of z-, lexicographic, and conditional entailment have similar properties like
their classical counterparts. Moreover, we show that the new notions of z-,
lexicographic, and conditional entailment are proper generalizations of both
their classical counterparts and the classical notion of logical entailment for
conditional constraints.",conditional entailment - 0.43; Pearlment system Z - 1.15; conditionalment - 0.45; z - 0.10; Ċ - 0.00; lexicographic - 0.81; Ċlexicographic - 0.74; lexicographic entailmentff - 0.72,Probabilistic Default Reasoning - 0.00; default reasoning - 0.29,Pearlment system Z - default reasoning - 5.39; conditionalment - default reasoning - 4.71; z - default reasoning - 2.99; Ċ - default reasoning - 3.24; Ċlexicographic - default reasoning - 5.97; lexicographic entailmentff - default reasoning - 3.89,"{'CumulativeMethodScore': 0.6565407344171316, 'CumulativeTaskScore': 0.4655359987840178, 'CumulativeMethodTaskPairScore': 0.6633043838338475}"
Planning with Incomplete Information,"Planning is a natural domain of application for frameworks of reasoning about
actions and change. In this paper we study how one such framework, the Language
E, can form the basis for planning under (possibly) incomplete information. We
define two types of plans: weak and safe plans, and propose a planner, called
the E-Planner, which is often able to extend an initial weak plan into a safe
plan even though the (explicit) information available is incomplete, e.g. for
cases where the initial state is not completely known. The E-Planner is based
upon a reformulation of the Language E in argumentation terms and a natural
proof theory resulting from the reformulation. It uses an extension of this
proof theory by means of abduction for the generation of plans and adopts
argumentation-based techniques for extending weak plans into safe plans. We
provide representative examples illustrating the behaviour of the E-Planner, in
particular for cases where the status of fluents is incompletely known.",LanguageĊE - 4.38; Language E - 3.39; E-Planner - 3.68,Planning - 0.15,LanguageĊE - Planning - 12.06; Language E - Planning - 9.40; E-Planner - Planning - 7.80,"{'CumulativeMethodScore': 0.8954656569882068, 'CumulativeTaskScore': 0.4551739830207315, 'CumulativeMethodTaskPairScore': 0.6868922204579433}"
SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,"SATEN is an object-oriented web-based extraction and belief revision engine.
It runs on any computer via a Java 1.1 enabled browser such as Netscape 4.
SATEN performs belief revision based on the AGM approach. The extraction and
belief revision reasoning engines operate on a user specified ranking of
information. One of the features of SATEN is that it can be used to integrate
mutually inconsistent commensuate rankings into a consistent ranking.",SATEN - 2.14,extraction - 0.21; Revision andraction - 5.24; belief revision - 0.00; belief - 0.19,SATEN - Revision andraction - 13.47; SATEN - belief revision - 4.95; SATEN - belief - 7.28,"{'CumulativeMethodScore': 0.5423736205420018, 'CumulativeTaskScore': 0.8125999854021282, 'CumulativeMethodTaskPairScore': 0.6595067233340243}"
DATALOG with constraints - an answer-set programming system,"Answer-set programming (ASP) has emerged recently as a viable programming
paradigm well attuned to search problems in AI, constraint satisfaction and
combinatorics. Propositional logic is, arguably, the simplest ASP system with
an intuitive semantics supporting direct modeling of problem constraints.
However, for some applications, especially those requiring that transitive
closure be computed, it requires additional variables and results in large
theories. Consequently, it may not be a practical computational tool for such
problems. On the other hand, ASP systems based on nonmonotonic logics, such as
stable logic programming, can handle transitive closure computation efficiently
and, in general, yield very concise theories as problem representations. Their
semantics is, however, more complex. Searching for the middle ground, in this
paper we introduce a new nonmonotonic logic, DATALOG with constraints or DC.
Informally, DC theories consist of propositional clauses (constraints) and of
Horn rules. The semantics is a simple and natural extension of the semantics of
the propositional logic. However, thanks to the presence of Horn rules in the
system, modeling of transitive closure becomes straightforward. We describe the
syntax and semantics of DC, and study its properties. We discuss an
implementation of DC and present results of experimental study of the
effectiveness of DC, comparing it with CSAT, a satisfiability checker and
SMODELS implementation of stable logic programming. Our results show that DC is
competitive with the other two approaches, in case of many search problems,
often yielding much more efficient solutions.",DC - 0.00; stable logic programming - 1.10; with CSATSMODELS - 2.69; DATALOG - 2.71; DATALOG with constraints - 4.73,ASP - 0.00; Answer-set programming - 1.10,with CSATSMODELS - Answer-set programming - 9.83,"{'CumulativeMethodScore': 0.8906748928373857, 'CumulativeTaskScore': 0.5258652980489742, 'CumulativeMethodTaskPairScore': 0.5263474705864131}"
