Title,Summary,Authors,Published,Category
Against Algorithmic Exploitation of Human Vulnerabilities,"Decisions such as which movie to watch next, which song to listen to, or
which product to buy online, are increasingly influenced by recommender systems
and user models that incorporate information on users' past behaviours,
preferences, and digitally created content. Machine learning models that enable
recommendations and that are trained on user data may unintentionally leverage
information on human characteristics that are considered vulnerabilities, such
as depression, young age, or gambling addiction. The use of algorithmic
decisions based on latent vulnerable state representations could be considered
manipulative and could have a deteriorating impact on the condition of
vulnerable individuals. In this paper, we are concerned with the problem of
machine learning models inadvertently modelling vulnerabilities, and want to
raise awareness for this issue to be considered in legislation and AI ethics.
Hence, we define and describe common vulnerabilities, and illustrate cases
where they are likely to play a role in algorithmic decision-making. We propose
a set of requirements for methods to detect the potential for vulnerability
modelling, detect whether vulnerable groups are treated differently by a model,
and detect whether a model has created an internal representation of
vulnerability. We conclude that explainable artificial intelligence methods may
be necessary for detecting vulnerability exploitation by machine learning-based
recommendation systems.","Inga Strümke, Marija Slavkovik, Clemens Stachl",2023-01-12T13:15:24Z,cs.AI
Persistence-Based Discretization for Learning Discrete Event Systems from Time Series,"To get a good understanding of a dynamical system, it is convenient to have
an interpretable and versatile model of it. Timed discrete event systems are a
kind of model that respond to these requirements. However, such models can be
inferred from timestamped event sequences but not directly from numerical data.
To solve this problem, a discretization step must be done to identify events or
symbols in the time series. Persist is a discretization method that intends to
create persisting symbols by using a score called persistence score. This
allows to mitigate the risk of undesirable symbol changes that would lead to a
too complex model. After the study of the persistence score, we point out that
it tends to favor excessive cases making it miss interesting persisting
symbols. To correct this behavior, we replace the metric used in the
persistence score, the Kullback-Leibler divergence, with the Wasserstein
distance. Experiments show that the improved persistence score enhances
Persist's ability to capture the information of the original time series and
that it makes it better suited for discrete event systems learning.","Lénaïg Cornanguer, Christine Largouët, Laurence Rozé, Alexandre Termier",2023-01-12T14:10:30Z,cs.AI
Discovering and Explaining Driver Behaviour under HoS Regulations,"World wide transport authorities are imposing complex Hours of Service
regulations to drivers, which constraint the amount of working, driving and
resting time when delivering a service. As a consequence, transport companies
are responsible not only of scheduling driving plans aligned with laws that
define the legal behaviour of a driver, but also of monitoring and identifying
as soon as possible problematic patterns that can incur in costs due to
sanctions. Transport experts are frequently in charge of many drivers and lack
time to analyse the vast amount of data recorded by the onboard sensors, and
companies have grown accustomed to pay sanctions rather than predict and
forestall wrongdoings. This paper exposes an application for summarising raw
driver activity logs according to these regulations and for explaining driver
behaviour in a human readable format. The system employs planning, constraint,
and clustering techniques to extract and describe what the driver has been
doing while identifying infractions and the activities that originate them.
Furthermore, it groups drivers based on similar driving patterns. An
experimentation in real world data indicates that recurring driving patterns
can be clustered from short basic driving sequences to whole drivers working
days.","Ignacio Vellido, Juan Fdez-Olivares, Raúl Pérez",2023-01-12T15:30:11Z,cs.AI
Multitask Weakly Supervised Learning for Origin Destination Travel Time Estimation,"Travel time estimation from GPS trips is of great importance to order
duration, ridesharing, taxi dispatching, etc. However, the dense trajectory is
not always available due to the limitation of data privacy and acquisition,
while the origin destination (OD) type of data, such as NYC taxi data, NYC bike
data, and Capital Bikeshare data, is more accessible. To address this issue,
this paper starts to estimate the OD trips travel time combined with the road
network. Subsequently, a Multitask Weakly Supervised Learning Framework for
Travel Time Estimation (MWSL TTE) has been proposed to infer transition
probability between roads segments, and the travel time on road segments and
intersection simultaneously. Technically, given an OD pair, the transition
probability intends to recover the most possible route. And then, the output of
travel time is equal to the summation of all segments' and intersections'
travel time in this route. A novel route recovery function has been proposed to
iteratively maximize the current route's co occurrence probability, and
minimize the discrepancy between routes' probability distribution and the
inverse distribution of routes' estimation loss. Moreover, the expected log
likelihood function based on a weakly supervised framework has been deployed in
optimizing the travel time from road segments and intersections concurrently.
We conduct experiments on a wide range of real world taxi datasets in Xi'an and
Chengdu and demonstrate our method's effectiveness on route recovery and travel
time estimation.","Hongjun Wang, Zhiwen Zhang, Zipei Fan, Jiyuan Chen, Lingyu Zhang, Ryosuke Shibasaki, Xuan Song",2023-01-13T00:11:56Z,cs.AI
Contrast with Major Classifier Vectors for Federated Medical Relation Extraction with Heterogeneous Label Distribution,"Federated medical relation extraction enables multiple clients to train a
deep network collaboratively without sharing their raw medical data. In order
to handle the heterogeneous label distribution across clients, most of the
existing works only involve enforcing regularization between local and global
models during optimization. In this paper, we fully utilize the models of all
clients and propose a novel concept of \textit{major classifier vectors}, where
a group of class vectors is obtained in an ensemble rather than the weighted
average method on the server. The major classifier vectors are then distributed
to all clients and the local training of each client is Contrasted with Major
Classifier vectors (FedCMC), so the local model is not prone to overfitting to
the local label distribution. FedCMC requires only a small amount of additional
transfer of classifier parameters without any leakage of raw data, extracted
representations, and label distributions. Our extensive experiments show that
FedCMC outperforms the other state-of-the-art FL algorithms on three medical
relation extraction datasets.","Chunhui Du, Hao He, Yaohui Jin",2023-01-13T03:22:07Z,cs.AI
Evolve Path Tracer: Early Detection of Malicious Addresses in Cryptocurrency,"With the ever-increasing boom of Cryptocurrency, detecting fraudulent
behaviors and associated malicious addresses draws significant research effort.
However, most existing studies still rely on the full history features or
full-fledged address transaction networks, thus cannot meet the requirements of
early malicious address detection, which is urgent but seldom discussed by
existing studies. To detect fraud behaviors of malicious addresses in the early
stage, we present Evolve Path Tracer, which consists of Evolve Path Encoder
LSTM, Evolve Path Graph GCN, and Hierarchical Survival Predictor. Specifically,
in addition to the general address features, we propose asset transfer paths
and corresponding path graphs to characterize early transaction patterns.
Further, since the transaction patterns are changing rapidly during the early
stage, we propose Evolve Path Encoder LSTM and Evolve Path Graph GCN to encode
asset transfer path and path graph under an evolving structure setting.
Hierarchical Survival Predictor then predicts addresses' labels with nice
scalability and faster prediction speed. We investigate the effectiveness and
versatility of Evolve Path Tracer on three real-world illicit bitcoin datasets.
Our experimental results demonstrate that Evolve Path Tracer outperforms the
state-of-the-art methods. Extensive scalability experiments demonstrate the
model's adaptivity under a dynamic prediction setting.","Ling Cheng, Feida Zhu, Yong Wang, Ruicheng Liang, Huiwen Liu",2023-01-13T06:59:52Z,cs.AI
Trends in Explainable AI (XAI) Literature,"The XAI literature is decentralized, both in terminology and in publication
venues, but recent years saw the community converge around keywords that make
it possible to more reliably discover papers automatically. We use keyword
search using the SemanticScholar API and manual curation to collect a
well-formatted and reasonably comprehensive set of 5199 XAI papers, available
at https://github.com/alonjacovi/XAI-Scholar . We use this collection to
clarify and visualize trends about the size and scope of the literature,
citation trends, cross-field trends, and collaboration trends. Overall, XAI is
becoming increasingly multidisciplinary, with relative growth in papers
belonging to increasingly diverse (non-CS) scientific fields, increasing
cross-field collaborative authorship, increasing cross-field citation activity.
The collection can additionally be used as a paper discovery engine, by
retrieving XAI literature which is cited according to specific constraints (for
example, papers that are influential outside of their field, or influential to
non-XAI research).",Alon Jacovi,2023-01-13T08:36:56Z,cs.AI
Using the profile of publishers to predict barriers across news articles,"Detection of news propagation barriers, being economical, cultural,
political, time zonal, or geographical, is still an open research issue. We
present an approach to barrier detection in news spreading by utilizing
Wikipedia-concepts and metadata associated with each barrier. Solving this
problem can not only convey the information about the coverage of an event but
it can also show whether an event has been able to cross a specific barrier or
not. Experimental results on IPoNews dataset (dataset for information spreading
over the news) reveals that simple classification models are able to detect
barriers with high accuracy. We believe that our approach can serve to provide
useful insights which pave the way for the future development of a system for
predicting information spreading barriers over the news.","Abdul Sittar, Dunja Mladenic",2023-01-13T13:32:42Z,cs.AI
Investigating the Combination of Planning-Based and Data-Driven Methods for Goal Recognition,"An important feature of pervasive, intelligent assistance systems is the
ability to dynamically adapt to the current needs of their users. Hence, it is
critical for such systems to be able to recognize those goals and needs based
on observations of the user's actions and state of the environment. In this
work, we investigate the application of two state-of-the-art, planning-based
plan recognition approaches in a real-world setting. So far, these approaches
were only evaluated in artificial settings in combination with agents that act
perfectly rational. We show that such approaches have difficulties when used to
recognize the goals of human subjects, because human behaviour is typically not
perfectly rational. To overcome this issue, we propose an extension to the
existing approaches through a classification-based method trained on observed
behaviour data. We empirically show that the proposed extension not only
outperforms the purely planning-based- and purely data-driven goal recognition
methods but is also able to recognize the correct goal more reliably,
especially when only a small number of observations were seen. This
substantially improves the usefulness of hybrid goal recognition approaches for
intelligent assistance systems, as recognizing a goal early opens much more
possibilities for supportive reactions of the system.","Nils Wilken, Lea Cohausz, Johannes Schaum, Stefan Lüdtke, Heiner Stuckenschmidt",2023-01-13T15:24:02Z,cs.AI
Jointly Learning Consistent Causal Abstractions Over Multiple Interventional Distributions,"An abstraction can be used to relate two structural causal models
representing the same system at different levels of resolution. Learning
abstractions which guarantee consistency with respect to interventional
distributions would allow one to jointly reason about evidence across multiple
levels of granularity while respecting the underlying cause-effect
relationships. In this paper, we introduce a first framework for causal
abstraction learning between SCMs based on the formalization of abstraction
recently proposed by Rischel (2020). Based on that, we propose a differentiable
programming solution that jointly solves a number of combinatorial
sub-problems, and we study its performance and benefits against independent and
sequential approaches on synthetic settings and on a challenging real-world
problem related to electric vehicle battery manufacturing.","Fabio Massimo Zennaro, Máté Drávucz, Geanina Apachitei, W. Dhammika Widanage, Theodoros Damoulas",2023-01-14T11:22:16Z,cs.AI
Max-min Learning of Approximate Weight Matrices from Fuzzy Data,"In this article, we study the approximate solutions set $\Lambda_b$ of an
inconsistent system of $\max-\min$ fuzzy relational equations $(S): A
\Box_{\min}^{\max}x =b$. Using the $L_\infty$ norm, we compute by an explicit
analytical formula the Chebyshev distance $\Delta~=~\inf_{c \in \mathcal{C}}
\Vert b -c \Vert$, where $\mathcal{C}$ is the set of second members of the
consistent systems defined with the same matrix $A$. We study the set
$\mathcal{C}_b$ of Chebyshev approximations of the second member $b$ i.e.,
vectors $c \in \mathcal{C}$ such that $\Vert b -c \Vert = \Delta$, which is
associated to the approximate solutions set $\Lambda_b$ in the following sense:
an element of the set $\Lambda_b$ is a solution vector $x^\ast$ of a system $A
\Box_{\min}^{\max}x =c$ where $c \in \mathcal{C}_b$. As main results, we
describe both the structure of the set $\Lambda_b$ and that of the set
$\mathcal{C}_b$. We then introduce a paradigm for $\max-\min$ learning weight
matrices that relates input and output data from training data. The learning
error is expressed in terms of the $L_\infty$ norm. We compute by an explicit
formula the minimal value of the learning error according to the training data.
We give a method to construct weight matrices whose learning error is minimal,
that we call approximate weight matrices.
  Finally, as an application of our results, we show how to learn approximately
the rule parameters of a possibilistic rule-based system according to multiple
training data.",Ismaïl Baaj,2023-01-15T16:48:30Z,cs.AI
PECAN: Leveraging Policy Ensemble for Context-Aware Zero-Shot Human-AI Coordination,"Zero-shot human-AI coordination holds the promise of collaborating with
humans without human data. Prevailing methods try to train the ego agent with a
population of partners via self-play. However, these methods suffer from two
problems: 1) The diversity of a population with finite partners is limited,
thereby limiting the capacity of the trained ego agent to collaborate with a
novel human; 2) Current methods only provide a common best response for every
partner in the population, which may result in poor zero-shot coordination
performance with a novel partner or humans. To address these issues, we first
propose the policy ensemble method to increase the diversity of partners in the
population, and then develop a context-aware method enabling the ego agent to
analyze and identify the partner's potential policy primitives so that it can
take different actions accordingly. In this way, the ego agent is able to learn
more universal cooperative behaviors for collaborating with diverse partners.
We conduct experiments on the Overcooked environment, and evaluate the
zero-shot human-AI coordination performance of our method with both
behavior-cloned human proxies and real humans. The results demonstrate that our
method significantly increases the diversity of partners and enables ego agents
to learn more diverse behaviors than baselines, thus achieving state-of-the-art
performance in all scenarios. We also open-source a human-AI coordination study
framework on the Overcooked for the convenience of future studies.","Xingzhou Lou, Jiaxian Guo, Junge Zhang, Jun Wang, Kaiqi Huang, Yali Du",2023-01-16T12:14:58Z,cs.AI
Causal Models with Constraints,"Causal models have proven extremely useful in offering formal representations
of causal relationships between a set of variables. Yet in many situations,
there are non-causal relationships among variables. For example, we may want
variables $LDL$, $HDL$, and $TOT$ that represent the level of low-density
lipoprotein cholesterol, the level of lipoprotein high-density lipoprotein
cholesterol, and total cholesterol level, with the relation $LDL+HDL=TOT$. This
cannot be done in standard causal models, because we can intervene
simultaneously on all three variables. The goal of this paper is to extend
standard causal models to allow for constraints on settings of variables.
Although the extension is relatively straightforward, to make it useful we have
to define a new intervention operation that $disconnects$ a variable from a
causal equation. We give examples showing the usefulness of this extension, and
provide a sound and complete axiomatization for causal models with constraints.","Sander Beckers, Joseph Y. Halpern, Christopher Hitchcock",2023-01-17T12:43:46Z,cs.AI
Implicit State and Goals in QBF Encodings for Positional Games (extended version),"We address two bottlenecks for concise QBF encodings of maker-breaker
positional games, like Hex and Tic-Tac-Toe. Our baseline is a QBF encoding with
explicit variables for board positions and an explicit representation of
winning configurations. The first improvement is inspired by lifted planning
and avoids variables for explicit board positions, introducing a universal
quantifier representing a symbolic board state. The second improvement
represents the winning configurations implicitly, exploiting their structure.
The paper evaluates the size of several encodings, depending on board size and
game depth. It also reports the performance of QBF solvers on these encodings.
We evaluate the techniques on Hex instances and also apply them to Harary's
Tic-Tac-Toe. In particular, we study scalability to 19$\times$19 boards, played
in human Hex tournaments.","Irfansha Shaik, Valentin Mayer-Eichberger, Jaco van de Pol, Abdallah Saffidine",2023-01-18T07:28:41Z,cs.AI
Boosting Synthetic Data Generation with Effective Nonlinear Causal Discovery,"Synthetic data generation has been widely adopted in software testing, data
privacy, imbalanced learning, and artificial intelligence explanation. In all
such contexts, it is crucial to generate plausible data samples. A common
assumption of approaches widely used for data generation is the independence of
the features. However, typically, the variables of a dataset depend on one
another, and these dependencies are not considered in data generation leading
to the creation of implausible records. The main problem is that dependencies
among variables are typically unknown. In this paper, we design a synthetic
dataset generator for tabular data that can discover nonlinear causalities
among the variables and use them at generation time. State-of-the-art methods
for nonlinear causal discovery are typically inefficient. We boost them by
restricting the causal discovery among the features appearing in the frequent
patterns efficiently retrieved by a pattern mining algorithm. We design a
framework for generating synthetic datasets with known causalities to validate
our proposal. Broad experimentation on many synthetic and real datasets with
known causalities shows the effectiveness of the proposed method.","Martina Cinquini, Fosca Giannotti, Riccardo Guidotti",2023-01-18T10:54:06Z,cs.AI
Generalisation Through Negation and Predicate Invention,"The ability to generalise from a small number of examples is a fundamental
challenge in machine learning. To tackle this challenge, we introduce an
inductive logic programming (ILP) approach that combines negation and predicate
invention. Combining these two features allows an ILP system to generalise
better by learning rules with universally quantified body-only variables. We
implement our idea in NOPI, which can learn normal logic programs with
predicate invention, including Datalog programs with stratified negation. Our
experimental results on multiple domains show that our approach can improve
predictive accuracies and learning times.","David M. Cerna, Andrew Cropper",2023-01-18T16:12:27Z,cs.AI
Generative AI-empowered Effective Physical-Virtual Synchronization in the Vehicular Metaverse,"Metaverse seamlessly blends the physical world and virtual space via
ubiquitous communication and computing infrastructure. In transportation
systems, the vehicular Metaverse can provide a fully-immersive and hyperreal
traveling experience (e.g., via augmented reality head-up displays, AR-HUDs) to
drivers and users in autonomous vehicles (AVs) via roadside units (RSUs).
However, provisioning real-time and immersive services necessitates effective
physical-virtual synchronization between physical and virtual entities, i.e.,
AVs and Metaverse AR recommenders (MARs). In this paper, we propose a
generative AI-empowered physical-virtual synchronization framework for the
vehicular Metaverse. In physical-to-virtual synchronization, digital twin (DT)
tasks generated by AVs are offloaded for execution in RSU with future route
generation. In virtual-to-physical synchronization, MARs customize diverse and
personal AR recommendations via generative AI models based on user preferences.
Furthermore, we propose a multi-task enhanced auction-based mechanism to match
and price AVs and MARs for RSUs to provision real-time and effective services.
Finally, property analysis and experimental results demonstrate that the
proposed mechanism is strategy-proof and adverse-selection free while
increasing social surplus by 50%.","Minrui Xu, Dusit Niyato, Hongliang Zhang, Jiawen Kang, Zehui Xiong, Shiwen Mao, Zhu Han",2023-01-18T16:25:42Z,cs.AI
Decision-Focused Evaluation: Analyzing Performance of Deployed Restless Multi-Arm Bandits,"Restless multi-arm bandits (RMABs) is a popular decision-theoretic framework
that has been used to model real-world sequential decision making problems in
public health, wildlife conservation, communication systems, and beyond.
Deployed RMAB systems typically operate in two stages: the first predicts the
unknown parameters defining the RMAB instance, and the second employs an
optimization algorithm to solve the constructed RMAB instance.
  In this work we provide and analyze the results from a first-of-its-kind
deployment of an RMAB system in public health domain, aimed at improving
maternal and child health. Our analysis is focused towards understanding the
relationship between prediction accuracy and overall performance of deployed
RMAB systems. This is crucial for determining the value of investing in
improving predictive accuracy towards improving the final system performance,
and is useful for diagnosing, monitoring deployed RMAB systems.
  Using real-world data from our deployed RMAB system, we demonstrate that an
improvement in overall prediction accuracy may even be accompanied by a
degradation in the performance of RMAB system -- a broad investment of
resources to improve overall prediction accuracy may not yield expected
results. Following this, we develop decision-focused evaluation metrics to
evaluate the predictive component and show that it is better at explaining
(both empirically and theoretically) the overall performance of a deployed RMAB
system.","Paritosh Verma, Shresth Verma, Aditya Mate, Aparna Taneja, Milind Tambe",2023-01-19T01:04:55Z,cs.AI
Subject-Independent Brain-Computer Interfaces with Open-Set Subject Recognition,"A brain-computer interface (BCI) can't be effectively used since
electroencephalography (EEG) varies between and within subjects. BCI systems
require calibration steps to adjust the model to subject-specific data. It is
widely acknowledged that this is a major obstacle to the development of BCIs.
To address this issue, previous studies have trained a generalized model by
removing the subjects' information. In contrast, in this work, we introduce a
style information encoder as an auxiliary task that classifies various source
domains and recognizes open-set domains. Open-set recognition method was used
as an auxiliary task to learn subject-related style information from the source
subjects, while at the same time helping the shared feature extractor map
features in an unseen target. This paper compares various OSR methods within an
open-set subject recognition (OSSR) framework. As a result of our experiments,
we found that the OSSR auxiliary network that encodes domain information
improves generalization performance.","Dong-Kyun Han, Dong-Young Kim, Geun-Deok Jang",2023-01-19T05:48:05Z,cs.AI
Generalization through Diversity: Improving Unsupervised Environment Design,"Agent decision making using Reinforcement Learning (RL) heavily relies on
either a model or simulator of the environment (e.g., moving in an 8x8 maze
with three rooms, playing Chess on an 8x8 board). Due to this dependence, small
changes in the environment (e.g., positions of obstacles in the maze, size of
the board) can severely affect the effectiveness of the policy learned by the
agent. To that end, existing work has proposed training RL agents on an
adaptive curriculum of environments (generated automatically) to improve
performance on out-of-distribution (OOD) test scenarios. Specifically, existing
research has employed the potential for the agent to learn in an environment
(captured using Generalized Advantage Estimation, GAE) as the key factor to
select the next environment(s) to train the agent. However, such a mechanism
can select similar environments (with a high potential to learn) thereby making
agent training redundant on all but one of those environments. To that end, we
provide a principled approach to adaptively identify diverse environments based
on a novel distance measure relevant to environment design. We empirically
demonstrate the versatility and effectiveness of our method in comparison to
multiple leading approaches for unsupervised environment design on three
distinct benchmark problems used in literature.","Wenjun Li, Pradeep Varakantham, Dexun Li",2023-01-19T11:55:47Z,cs.AI
